JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458356.793176,166.931007,250509.343750,19.542285
2458356.812466,166.923992,294949.718750,19.364893
2458356.831756,166.916973,290552.968750,19.381118
2458356.851046,166.909951,308889.375000,19.314592
2458356.870336,166.902924,225747.656250,19.654959
2458356.889627,166.895894,308406.968750,19.316125
2458356.908917,166.888860,357733.062500,19.154956
2458356.928207,166.881823,254462.484375,19.524713
2458356.947497,166.874781,234181.984375,19.614807
2458356.966787,166.867736,265181.625000,19.479750
2458356.986077,166.860687,239161.656250,19.591798
2458357.005367,166.853634,280365.562500,19.419133
2458357.024657,166.846578,292219.687500,19.374090
2458357.043948,166.839518,315049.468750,19.292335
2458357.063238,166.832454,311339.250000,19.305115
2458357.082528,166.825386,263929.687500,19.484397
2458357.101818,166.818314,261703.609375,19.493512
2458357.121108,166.811239,328043.750000,19.248125
2458357.140398,166.804160,325734.375000,19.255713
2458357.159688,166.797077,237854.546875,19.597012
2458357.178978,166.789990,259284.671875,19.503266
2458357.198269,166.782900,259554.031250,19.502057
2458357.217559,166.775806,267172.656250,19.470565
2458357.236849,166.768708,268784.500000,19.463952
2458357.256139,166.761607,304995.218750,19.326648
2458357.275429,166.754502,295126.062500,19.362280
2458357.294719,166.747393,299000.906250,19.348036
2458357.314009,166.740281,236948.078125,19.600502
2458357.333299,166.733164,319968.375000,19.274285
2458357.352590,166.726044,372951.406250,19.107840
2458357.371880,166.718921,254816.296875,19.521321
2458357.391170,166.711793,243320.875000,19.571359
2458357.410460,166.704662,273053.875000,19.446104
2458357.429750,166.697528,246176.078125,19.558528
2458357.449040,166.690389,277090.156250,19.430008
2458357.468330,166.683247,314476.250000,19.292509
2458357.487620,166.676102,322383.406250,19.265465
2458357.506911,166.668952,333473.187500,19.228663
2458357.526201,166.661799,246645.156250,19.556051
2458357.545491,166.654642,304595.812500,19.326841
2458357.564781,166.647482,360507.218750,19.143784
2458357.584071,166.640318,295128.437500,19.360959
2458357.603361,166.633151,250554.265625,19.538650
2458357.622651,166.625979,280659.156250,19.415374
2458357.641941,166.618804,255696.828125,19.516427
2458357.661232,166.611626,294226.593750,19.363953
2458357.680522,166.604444,295273.531250,19.360015
2458357.699812,166.597258,320498.343750,19.270929
2458357.719102,166.590069,316613.218750,19.284089
2458357.738392,166.582876,291268.687500,19.374595
2458357.757682,166.575679,262021.296875,19.489406
2458357.776972,166.568479,332302.125000,19.231332
2458357.796262,166.561275,369483.375000,19.116096
2458357.815553,166.554068,262789.781250,19.485980
2458357.834843,166.546857,267968.937500,19.464708
2458357.854133,166.539642,273890.968750,19.440892
2458357.873423,166.532424,260131.328125,19.496773
2458357.892713,166.525202,278617.218750,19.422152
2458357.912003,166.517977,323120.437500,19.261179
2458357.931293,166.510748,320162.968750,19.271080
2458357.950583,166.503516,327008.093750,19.248029
2458357.969874,166.496280,240353.796875,19.582216
2458357.989164,166.489040,331254.406250,19.233857
2458358.008454,166.481797,390142.843750,19.056119
2458358.027744,166.474550,282636.875000,19.406024
2458358.047034,166.467300,261883.203125,19.488745
2458358.066324,166.460046,283789.937500,19.401439
2458358.085614,166.452789,257364.218750,19.507479
2458358.104904,166.445528,299501.125000,19.342771
2458358.124195,166.438264,325591.906250,19.252001
2458358.143485,166.430996,346283.843750,19.185022
2458358.162775,166.423725,343133.687500,19.194862
2458358.182065,166.416450,263790.406250,19.480290
2458358.201355,166.409171,287534.812500,19.386629
2458358.220645,166.401889,355323.906250,19.156712
2458358.239935,166.394604,346014.500000,19.185455
2458358.259225,166.387315,266986.156250,19.466886
2458358.278515,166.380022,292913.531250,19.366177
2458358.297806,166.372726,272281.812500,19.445397
2458358.317096,166.365427,301069.187500,19.336195
2458358.336386,166.358124,299563.593750,19.341556
2458358.355676,166.350818,339125.406250,19.206795
2458358.374966,166.343508,327856.593750,19.243404
2458358.394256,166.336194,315617.000000,19.284630
2458358.413546,166.328878,263332.468750,19.481187
2458358.432836,166.321557,341818.062500,19.197878
2458358.452127,166.314233,402021.625000,19.021660
2458358.471417,166.306906,282889.437500,19.403159
2458358.490707,166.299576,274743.093750,19.434801
2458358.509997,166.292241,290253.218750,19.375093
2458358.529287,166.284904,269789.281250,19.454392
2458358.548577,166.277563,296473.218750,19.351907
2458358.567867,166.270218,347665.312500,19.178885
2458358.587157,166.262870,345696.562500,19.184968
2458358.606448,166.255519,361149.281250,19.137406
2458358.625738,166.248164,261530.750000,19.487734
2458358.645028,166.240806,331318.968750,19.230842
2458358.664318,166.233445,392323.250000,19.047265
2458358.683608,166.226080,314158.812500,19.288420
2458358.702898,166.218711,278564.812500,19.418895
2458358.722188,166.211339,299748.187500,19.339236
2458358.741478,166.203964,275576.750000,19.430439
2458358.760769,166.196585,321363.937500,19.263469
2458358.780059,166.189203,331156.187500,19.230797
2458358.799349,166.181818,359402.781250,19.141843
2458358.818639,166.174429,350649.312500,19.168532
2458358.837929,166.167037,300553.375000,19.335828
2458358.857219,166.159641,284211.843750,19.396444
2458358.876509,166.152242,359131.562500,19.142332
2458358.895799,166.144840,391183.718750,19.049432
2458358.915090,166.137434,287459.656250,19.383859
2458358.934380,166.130025,300385.000000,19.336023
2458358.953670,166.122613,291913.718750,19.366999
2458358.972960,166.115197,295355.968750,19.354188
2458358.992250,166.107778,305715.968750,19.316675
2458359.011540,166.100355,359465.375000,19.140745
2458359.030830,166.092929,351325.781250,19.165529
2458359.050120,166.085500,345479.343750,19.183666
2458359.069411,166.078067,260792.906250,19.488899
2458359.088701,166.070632,353289.781250,19.159228
