JD,PhaseAngle_deg,VisibleArea_m2,ApparentMagnitude
2458359.879596,165.762931,338726.625000,19.201530
2458359.898886,165.755358,338995.468750,19.200586
2458359.918176,165.747782,339842.593750,19.197793
2458359.937466,165.740203,340375.593750,19.196008
2458359.956756,165.732620,340860.218750,19.194380
2458359.976046,165.725035,341544.218750,19.192120
2458359.995336,165.717446,342014.718750,19.190543
2458360.014627,165.709854,342391.093750,19.189265
2458360.033917,165.702259,342847.750000,19.187735
2458360.053207,165.694661,343638.093750,19.185152
2458360.072497,165.687060,344019.000000,19.183866
2458360.091787,165.679455,344794.718750,19.181337
2458360.111077,165.671848,345286.031250,19.179708
2458360.130367,165.664237,345802.593750,19.178001
2458360.149657,165.656623,346336.375000,19.176243
2458360.168948,165.649006,346556.281250,19.175471
2458360.188238,165.641386,347320.968750,19.172994
2458360.207528,165.633762,348128.125000,19.170391
2458360.226818,165.626136,348390.093750,19.169491
2458360.246108,165.618506,349029.843750,19.167415
2458360.265398,165.610873,349868.687500,19.164726
2458360.284688,165.603237,350335.218750,19.163196
2458360.303978,165.595599,350822.812500,19.161602
2458360.323269,165.587956,351340.656250,19.159917
2458360.342559,165.580311,351711.937500,19.158687
2458360.361849,165.572663,352395.156250,19.156497
2458360.381139,165.565012,352997.625000,19.154559
